"","Strain Name","Virus Species","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Year","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"451","CHIKV/Homo sapiens/USA/CKVHL_125/2014","Chikungunya virus","KY680355","11517","-N/A-","07/22/2014",2014-07-22,"Human","Homo sapiens; sex: female; age: 56 years","United States of America","genomic RNA",11517,0.95975,">90%","North America","USA"
"452","HUBCK49","Chikungunya virus","KX619423","11449","-N/A-","07/23/2014",2014-07-23,"Human","Homo sapiens","India","genomic RNA",11449,0.954083333333333,">90%","Asia","India+"
"453","14.03844","Chikungunya virus","KY435467","11225","-N/A-","07/24/2014",2014-07-24,"Human","Homo sapiens","Montserrat","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"454","CHIKV/Homo sapiens/USA/CKVHL_81/2014","Chikungunya virus","KY680362","12136","-N/A-","07/26/2014",2014-07-26,"Human","Homo sapiens; sex: male; age: 75 years","United States of America","genomic RNA",12136,1.01133333333333,">90%","North America","USA"
"455","CHIKV/Homo sapiens/USA/CKVHL_82/2014","Chikungunya virus","KY680402","12136","-N/A-","07/27/2014",2014-07-27,"Human","Homo sapiens; age: 35 years","United States of America","genomic RNA",12136,1.01133333333333,">90%","North America","USA"
"456","14.03562","Chikungunya virus","KY435469","11225","-N/A-","07/30/2014",2014-07-30,"Human","Homo sapiens","Grenada","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"457","WHCHK22","Chikungunya virus","KR559491","12011","-N/A-","08/2014",2014-08-01,"Unknown","-N/A-","Colombia","genomic RNA",12011,1.00091666666667,">90%","South America","Rest South America"
"458","WHCHK21","Chikungunya virus","KR559490","12011","-N/A-","08/2014",2014-08-01,"Unknown","-N/A-","Guyana","genomic RNA",12011,1.00091666666667,">90%","South America","Rest South America"
"459","WHCHK23","Chikungunya virus","KR559492","12011","-N/A-","08/2014",2014-08-01,"Unknown","-N/A-","Saint Lucia","genomic RNA",12011,1.00091666666667,">90%","South America","Rest Central America"
"460","WHCHK13","Chikungunya virus","KR559482","12010","-N/A-","08/2014",2014-08-01,"Unknown","-N/A-","United States Virgin Islands","genomic RNA",12010,1.00083333333333,">90%","South America","Rest Central America"
"461","14.04444","Chikungunya virus","KY435463","11225","-N/A-","08/02/2014",2014-08-02,"Human","Homo sapiens","Suriname","genomic RNA",11225,0.935416666666667,">90%","South America","Rest South America"
"462","CHIKV/Homo sapiens/USA/CKVHL_119/2014","Chikungunya virus","KY680398","11571","-N/A-","08/05/2014",2014-08-05,"Human","Homo sapiens; sex: male; age: 25 years","United States of America","genomic RNA",11571,0.96425,">90%","North America","USA"
"463","CHIKV/Homo sapiens/USA/CKVHL_114/2014","Chikungunya virus","KY680360","11307","-N/A-","08/05/2014",2014-08-05,"Human","Homo sapiens; sex: female; age: 31 years","United States of America","genomic RNA",11307,0.94225,">90%","North America","USA"
"464","14.03837","Chikungunya virus","KY435468","11225","-N/A-","08/06/2014",2014-08-06,"Human","Homo sapiens","Jamaica","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"465","14.03985","Chikungunya virus","KY435466","11225","-N/A-","08/06/2014",2014-08-06,"Human","Homo sapiens","Barbados","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"466","CHIKV/Homo sapiens/USA/CKVHL_05/2014","Chikungunya virus","KY680406","11952","-N/A-","08/08/2014",2014-08-08,"Human","Homo sapiens; sex: female; age: 11 years","United States of America","genomic RNA",11952,0.996,">90%","North America","USA"
"467","CHIKV/Homo sapiens/USA/CKVHL_33/2014","Chikungunya virus","KY680358","12133","-N/A-","08/08/2014",2014-08-08,"Human","Homo sapiens; sex: male; age: 18 years","United States of America","genomic RNA",12133,1.01108333333333,">90%","North America","USA"
"468","CHIKV/Homo sapiens/USA/CKVHL_51/2014","Chikungunya virus","KY680357","11307","-N/A-","08/09/2014",2014-08-09,"Human","Homo sapiens; sex: female; age: 45 years","United States of America","genomic RNA",11307,0.94225,">90%","North America","USA"
"469","Haiti-10/2014","Chikungunya virus","KY415985","12037","-N/A-","08/13/2014",2014-08-13,"Human","Homo sapiens","Haiti","genomic RNA",12037,1.00308333333333,">90%","South America","Rest Central America"
"470","PR-S6","Chikungunya virus","KR264951","12014","-N/A-","08/14/2014",2014-08-14,"Human","Homo sapiens","Puerto Rico","genomic RNA",12014,1.00116666666667,">90%","South America","Rest Central America"
"471","14.04425","Chikungunya virus","KY435464","11225","-N/A-","08/15/2014",2014-08-15,"Human","Homo sapiens","Barbados","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"472","CHIKV/Homo sapiens/USA/CKVHL_28/2014","Chikungunya virus","KY680377","11307","-N/A-","08/16/2014",2014-08-16,"Human","Homo sapiens; sex: male; age: 51 years","United States of America","genomic RNA",11307,0.94225,">90%","North America","USA"
"473","14.04279","Chikungunya virus","KY435465","11225","-N/A-","08/17/2014",2014-08-17,"Human","Homo sapiens","Trinidad and Tobago","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"474","14.06350","Chikungunya virus","KY435456","11225","-N/A-","08/17/2014",2014-08-17,"Human","Homo sapiens","Suriname","genomic RNA",11225,0.935416666666667,">90%","South America","Rest South America"
"475","CHIKV/Homo sapiens/USA/CKVHL_121/2014","Chikungunya virus","KY680383","12136","-N/A-","08/20/2014",2014-08-20,"Human","Homo sapiens; sex: female; age: 35 years","United States of America","genomic RNA",12136,1.01133333333333,">90%","North America","USA"
"476","CHIKV/Homo sapiens/USA/CKVHL_95/2014","Chikungunya virus","KY680371","11959","-N/A-","08/20/2014",2014-08-20,"Human","Homo sapiens; sex: female; age: 35 years","United States of America","genomic RNA",11959,0.996583333333333,">90%","North America","USA"
"477","KLF_69219","Chikungunya virus","MT526802","11789","-N/A-","08/20/2014",2014-08-20,"Human","Homo sapiens","Kenya","genomic RNA",11789,0.982416666666667,">90%","Africa","Eastern Africa"
"478","TR206/H804187","Chikungunya virus","KP164572","12053","-N/A-","08/21/2014",2014-08-21,"Human","Homo sapiens","Brazil","genomic RNA",12053,1.00441666666667,">90%","South America","Brazil"
"479","CHIKV/Homo sapiens/USA/CKVHL_20/2014","Chikungunya virus","KY680410","11307","-N/A-","08/22/2014",2014-08-22,"Human","Homo sapiens; sex: female; age: 1 year","United States of America","genomic RNA",11307,0.94225,">90%","North America","USA"
"480","14.04561","Chikungunya virus","KY435461","11225","-N/A-","08/24/2014",2014-08-24,"Human","Homo sapiens","Jamaica","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"481","CHIKV/Homo sapiens/USA/CKVHL_90/2014","Chikungunya virus","KY680353","11305","-N/A-","08/25/2014",2014-08-25,"Human","Homo sapiens; sex: male; age: 45 years","United States of America","genomic RNA",11305,0.942083333333333,">90%","North America","USA"
"482","14.04558","Chikungunya virus","KY435462","11225","-N/A-","08/25/2014",2014-08-25,"Human","Homo sapiens","Jamaica","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"483","BHI3734/H804698","Chikungunya virus","KP164568","11812","-N/A-","08/26/2014",2014-08-26,"Human","Homo sapiens","Brazil","genomic RNA",11812,0.984333333333333,">90%","South America","Brazil"
"484","AMA2798/H804298","Chikungunya virus","KP164567","11715","-N/A-","08/28/2014",2014-08-28,"Human","Homo sapiens","Brazil","genomic RNA",11715,0.97625,">90%","South America","Brazil"
"485","BHI3741/H804705","Chikungunya virus","KP164569","11816","-N/A-","08/28/2014",2014-08-28,"Human","Homo sapiens","Brazil","genomic RNA",11816,0.984666666666667,">90%","South America","Brazil"
"486","CHIKV/Homo sapiens/USA/CKVHL_88/2014","Chikungunya virus","KY680412","11747","-N/A-","08/28/2014",2014-08-28,"Human","Homo sapiens; sex: male; age: 21 years","United States of America","genomic RNA",11747,0.978916666666667,">90%","North America","USA"
"487","VE53_20","Chikungunya virus","KR046227","12003","-N/A-","08/30/2014",2014-08-30,"Human","Homo sapiens","Trinidad and Tobago","genomic RNA",12003,1.00025,">90%","South America","Rest Central America"
"488","WHCHK19","Chikungunya virus","KR559488","12011","-N/A-","09/2014",2014-09-01,"Unknown","-N/A-","Honduras","genomic RNA",12011,1.00091666666667,">90%","South America","Rest Central America"
"489","WHCHK6","Chikungunya virus","KR559475","12008","-N/A-","09/2014",2014-09-01,"Unknown","-N/A-","El Salvador","genomic RNA",12008,1.00066666666667,">90%","South America","Rest Central America"
"490","WHCHK12","Chikungunya virus","KR559481","12007","-N/A-","09/2014",2014-09-01,"Unknown","-N/A-","Guatemala","genomic RNA",12007,1.00058333333333,">90%","South America","Rest Central America"
"491","WHCHK5","Chikungunya virus","KR559474","12010","-N/A-","09/2014",2014-09-01,"Unknown","-N/A-","Puerto Rico","genomic RNA",12010,1.00083333333333,">90%","South America","Rest Central America"
"492","WHCHK11","Chikungunya virus","KR559480","12009","-N/A-","09/2014",2014-09-01,"Unknown","-N/A-","United States Virgin Islands","genomic RNA",12009,1.00075,">90%","South America","Rest Central America"
"493","CHIKV/Homo sapiens/USA/CKVHL_35/2014","Chikungunya virus","KY680396","11571","-N/A-","09/02/2014",2014-09-02,"Human","Homo sapiens; sex: male; age: 69 years","United States of America","genomic RNA",11571,0.96425,">90%","North America","USA"
"494","BHI3745/H804709","Chikungunya virus","KP164570","11678","-N/A-","09/03/2014",2014-09-03,"Human","Homo sapiens","Brazil","genomic RNA",11678,0.973166666666667,">90%","South America","Brazil"
"495","CHIKV/Homo sapiens/USA/CKVHL_94/2014","Chikungunya virus","KY680411","12136","-N/A-","09/04/2014",2014-09-04,"Human","Homo sapiens; sex: male; age: 43 years","United States of America","genomic RNA",12136,1.01133333333333,">90%","North America","USA"
"496","CHIKV/Homo sapiens/USA/CKVHL_120/2014","Chikungunya virus","KY680399","11764","-N/A-","09/05/2014",2014-09-05,"Human","Homo sapiens; sex: female; age: 40 years","United States of America","genomic RNA",11764,0.980333333333333,">90%","North America","USA"
"497","CHIKV/Homo sapiens/USA/CKVHL_80/2014","Chikungunya virus","KY680348","12136","-N/A-","09/05/2014",2014-09-05,"Human","Homo sapiens; sex: female; age: 46 years","United States of America","genomic RNA",12136,1.01133333333333,">90%","North America","USA"
"498","VE54_19","Chikungunya virus","KR046228","12003","-N/A-","09/11/2014",2014-09-11,"Human","Homo sapiens","Trinidad and Tobago","genomic RNA",12003,1.00025,">90%","South America","Rest Central America"
"499","VE55_4","Chikungunya virus","KR046234","12003","-N/A-","09/12/2014",2014-09-12,"Human","Homo sapiens","Trinidad and Tobago","genomic RNA",12003,1.00025,">90%","South America","Rest Central America"
"500","CHIKV/Homo sapiens/USA/CKVHL_21/2014","Chikungunya virus","KY680414","11307","-N/A-","09/13/2014",2014-09-13,"Human","Homo sapiens; sex: female; age: 56 years","United States of America","genomic RNA",11307,0.94225,">90%","North America","USA"
"501","M6","Chikungunya virus","MH329296","11694","-N/A-","09/13/2014",2014-09-13,"Human","Homo sapiens","Colombia","genomic RNA",11694,0.9745,">90%","South America","Rest South America"
"502","CHIKV/Homo sapiens/USA/CKVHL_53/2014","Chikungunya virus","KY680379","11307","-N/A-","09/16/2014",2014-09-16,"Human","Homo sapiens; sex: female; age: 28 years","United States of America","genomic RNA",11307,0.94225,">90%","North America","USA"
"503","VE56_9","Chikungunya virus","KR046229","12003","-N/A-","09/17/2014",2014-09-17,"Human","Homo sapiens","Trinidad and Tobago","genomic RNA",12003,1.00025,">90%","South America","Rest Central America"
"504","CHIKV/Homo sapiens/USA/CKVHL_128/2014","Chikungunya virus","KY680413","11959","-N/A-","09/17/2014",2014-09-17,"Human","Homo sapiens; sex: male; age: 42 years","United States of America","genomic RNA",11959,0.996583333333333,">90%","North America","USA"
"505","CHIKV/Homo sapiens/USA/CKVHL_67/2014","Chikungunya virus","KY680404","12137","-N/A-","09/17/2014",2014-09-17,"Human","Homo sapiens; sex: female; age: 53 years","United States of America","genomic RNA",12137,1.01141666666667,">90%","North America","USA"
"506","CHIKV/Homo sapiens/USA/CKVHL_42/2014","Chikungunya virus","KY680393","12135","-N/A-","09/17/2014",2014-09-17,"Human","Homo sapiens; sex: female; age: 54 years","United States of America","genomic RNA",12135,1.01125,">90%","North America","USA"
"507","14.05085","Chikungunya virus","KY435459","11225","-N/A-","09/17/2014",2014-09-17,"Human","Homo sapiens","Cayman Islands","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"508","VE56_13","Chikungunya virus","KR046230","12003","-N/A-","09/18/2014",2014-09-18,"Human","Homo sapiens","Trinidad and Tobago","genomic RNA",12003,1.00025,">90%","South America","Rest Central America"
"509","CHIKV/Homo sapiens/USA/CKVHL_66/2014","Chikungunya virus","KY680365","11291","-N/A-","09/18/2014",2014-09-18,"Human","Homo sapiens; sex: female; age: 52 years","United States of America","genomic RNA",11291,0.940916666666667,">90%","North America","USA"
"510","VE56_20","Chikungunya virus","KR046232","12003","-N/A-","09/20/2014",2014-09-20,"Human","Homo sapiens","Trinidad and Tobago","genomic RNA",12003,1.00025,">90%","South America","Rest Central America"
"511","VE57_2","Chikungunya virus","KR046233","12003","-N/A-","09/20/2014",2014-09-20,"Human","Homo sapiens","Trinidad and Tobago","genomic RNA",12003,1.00025,">90%","South America","Rest Central America"
"512","CHIKV/Homo sapiens/USA/CKVHL_101/2014","Chikungunya virus","KY680401","11775","-N/A-","09/22/2014",2014-09-22,"Human","Homo sapiens; sex: male; age: 41 years","United States of America","genomic RNA",11775,0.98125,">90%","North America","USA"
"513","CHIKV/Homo sapiens/USA/CKVHL_16/2014","Chikungunya virus","KY680386","11704","-N/A-","09/24/2014",2014-09-24,"Human","Homo sapiens; sex: female; age: 8 months","United States of America","genomic RNA",11704,0.975333333333333,">90%","North America","USA"
"514","Car-3","Chikungunya virus","MH329301","12347","-N/A-","10/01/2014",2014-10-01,"Human","Homo sapiens","Colombia","genomic RNA",12347,1.02891666666667,">90%","South America","Rest South America"
"515","Car-4","Chikungunya virus","MH329303","11694","-N/A-","10/01/2014",2014-10-01,"Human","Homo sapiens","Colombia","genomic RNA",11694,0.9745,">90%","South America","Rest South America"
"516","WHCHK2","Chikungunya virus","KR559471","12010","-N/A-","10/2014",2014-10-01,"Unknown","-N/A-","El Salvador","genomic RNA",12010,1.00083333333333,">90%","South America","Rest Central America"
"517","WHCHK20","Chikungunya virus","KR559489","12011","-N/A-","10/2014",2014-10-01,"Unknown","-N/A-","Jamaica","genomic RNA",12011,1.00091666666667,">90%","South America","Rest Central America"
"518","WHCHK14","Chikungunya virus","KR559483","12004","-N/A-","10/2014",2014-10-01,"Unknown","-N/A-","Puerto Rico","genomic RNA",12004,1.00033333333333,">90%","South America","Rest Central America"
"519","WHCHK16","Chikungunya virus","KR559485","12010","-N/A-","10/2014",2014-10-01,"Unknown","-N/A-","United States Virgin Islands","genomic RNA",12010,1.00083333333333,">90%","South America","Rest Central America"
"520","2014","Chikungunya virus","MW042254","11754","-N/A-","10/2014",2014-10-01,"Human","Homo sapiens","India","genomic RNA",11754,0.9795,">90%","Asia","India+"
"521","CHIKV/Homo sapiens/USA/CKVHL_76/2014","Chikungunya virus","KY680388","11550","-N/A-","10/02/2014",2014-10-02,"Human","Homo sapiens; sex: female; age: 49 years","United States of America","genomic RNA",11550,0.9625,">90%","North America","USA"
"522","CHIKV/Homo sapiens/USA/CKVHL_57/2014","Chikungunya virus","KY680370","11952","-N/A-","10/03/2014",2014-10-03,"Human","Homo sapiens; sex: male; age: 64 years","United States of America","genomic RNA",11952,0.996,">90%","North America","USA"
"523","Car-149","Chikungunya virus","MH329302","12306","-N/A-","10/03/2014",2014-10-03,"Human","Homo sapiens","Colombia","genomic RNA",12306,1.0255,">90%","South America","Rest South America"
"524","CHIKV/Homo sapiens/NIC/5823.11A1/2014","Chikungunya virus","KY703904","11307","-N/A-","10/04/2014",2014-10-04,"Human","Homo sapiens","Nicaragua","genomic RNA",11307,0.94225,">90%","South America","Rest Central America"
"525","CHIKV/Homo sapiens/USA/CKVHL_99/2014","Chikungunya virus","KY680394","11633","-N/A-","10/05/2014",2014-10-05,"Human","Homo sapiens; sex: female; age: 49 years","United States of America","genomic RNA",11633,0.969416666666667,">90%","North America","USA"
"526","CHIKV/Homo sapiens/USA/CKVHL_85/2014","Chikungunya virus","KY680376","11307","-N/A-","10/08/2014",2014-10-08,"Human","Homo sapiens; sex: female; age: 31 years","United States of America","genomic RNA",11307,0.94225,">90%","North America","USA"
